# source=measured_controller_ablation_timeseries, provisional=false
trial_id,mode,t_s,pitch_deg,command_speed_m_s,protection_triggered
e9_full_02,FULL,-0.200,0.22614,0.000,0
e9_full_02,FULL,-0.180,0.11396,0.000,0
e9_full_02,FULL,-0.160,-0.02443,0.000,0
e9_full_02,FULL,-0.140,0.12464,0.000,0
e9_full_02,FULL,-0.120,-0.15387,0.000,0
e9_full_02,FULL,-0.100,-0.22267,0.000,0
e9_full_02,FULL,-0.080,-0.12876,0.000,0
e9_full_02,FULL,-0.060,-0.07896,0.000,0
e9_full_02,FULL,-0.040,0.25704,0.000,0
e9_full_02,FULL,-0.020,0.01674,0.000,0
e9_full_02,FULL,0.000,8.88412,0.000,0
e9_full_02,FULL,0.020,8.41600,0.000,0
e9_full_02,FULL,0.040,7.92731,0.000,0
e9_full_02,FULL,0.060,7.56787,0.000,0
e9_full_02,FULL,0.080,7.04470,0.000,0
e9_full_02,FULL,0.100,7.01757,0.000,0
e9_full_02,FULL,0.120,6.47896,0.000,0
e9_full_02,FULL,0.140,6.02409,0.000,0
e9_full_02,FULL,0.160,5.82825,0.000,0
e9_full_02,FULL,0.180,5.29017,0.000,0
e9_full_02,FULL,0.200,4.80379,0.000,0
e9_full_02,FULL,0.220,4.64161,0.000,0
e9_full_02,FULL,0.240,4.19062,0.000,0
e9_full_02,FULL,0.260,3.91583,0.000,0
e9_full_02,FULL,0.280,3.27010,0.000,0
e9_full_02,FULL,0.300,3.07005,0.000,0
e9_full_02,FULL,0.320,2.76279,0.000,0
e9_full_02,FULL,0.340,2.60491,0.000,0
e9_full_02,FULL,0.360,2.20456,0.000,0
e9_full_02,FULL,0.380,1.94564,0.000,0
e9_full_02,FULL,0.400,1.86007,0.000,0
e9_full_02,FULL,0.420,1.42476,0.000,0
e9_full_02,FULL,0.440,1.09523,0.000,0
e9_full_02,FULL,0.460,0.86356,0.000,0
e9_full_02,FULL,0.480,0.81654,0.000,0
e9_full_02,FULL,0.500,0.47986,0.000,0
e9_full_02,FULL,0.520,0.41320,0.000,0
e9_full_02,FULL,0.540,0.25964,0.000,0
e9_full_02,FULL,0.560,0.26889,0.000,0
e9_full_02,FULL,0.580,0.09040,0.000,0
e9_full_02,FULL,0.600,-0.19443,0.000,0
e9_full_02,FULL,0.620,-0.49944,0.000,0
e9_full_02,FULL,0.640,-0.33426,0.000,0
e9_full_02,FULL,0.660,-0.61342,0.000,0
e9_full_02,FULL,0.680,-0.80528,0.000,0
e9_full_02,FULL,0.700,-0.71010,0.000,0
e9_full_02,FULL,0.720,-0.61362,0.000,0
e9_full_02,FULL,0.740,-1.05335,0.000,0
e9_full_02,FULL,0.760,-0.75928,0.000,0
e9_full_02,FULL,0.780,-1.04138,0.000,0
e9_full_02,FULL,0.800,-1.07744,0.000,0
e9_full_02,FULL,0.820,-1.05304,0.000,0
e9_full_02,FULL,0.840,-0.88104,0.000,0
e9_full_02,FULL,0.860,-1.09579,0.000,0
e9_full_02,FULL,0.880,-0.96891,0.000,0
e9_full_02,FULL,0.900,-0.87111,0.000,0
e9_full_02,FULL,0.920,-0.92099,0.000,0
e9_full_02,FULL,0.940,-1.36520,0.000,0
e9_full_02,FULL,0.960,-0.80969,0.000,0
e9_full_02,FULL,0.980,-0.81523,0.000,0
e9_full_02,FULL,1.000,-0.99589,0.000,0
e9_full_02,FULL,1.020,-0.90009,0.000,0
e9_full_02,FULL,1.040,-0.94069,0.000,0
e9_full_02,FULL,1.060,-0.81295,0.000,0
e9_full_02,FULL,1.080,-0.81120,0.000,0
e9_full_02,FULL,1.100,-0.76916,0.000,0
e9_full_02,FULL,1.120,-0.80633,0.000,0
e9_full_02,FULL,1.140,-0.93153,0.000,0
e9_full_02,FULL,1.160,-0.93285,0.000,0
e9_full_02,FULL,1.180,-0.70640,0.000,0
e9_full_02,FULL,1.200,-0.46303,0.000,0
e9_full_02,FULL,1.220,-0.43297,0.000,0
e9_full_02,FULL,1.240,-0.62249,0.000,0
e9_full_02,FULL,1.260,-0.65239,0.000,0
e9_full_02,FULL,1.280,-0.52383,0.000,0
e9_full_02,FULL,1.300,-0.57678,0.000,0
e9_full_02,FULL,1.320,-0.34143,0.000,0
e9_full_02,FULL,1.340,-0.44237,0.000,0
e9_full_02,FULL,1.360,-0.18551,0.000,0
e9_full_02,FULL,1.380,-0.25926,0.000,0
e9_full_02,FULL,1.400,-0.44916,0.000,0
e9_full_02,FULL,1.420,-0.35190,0.000,0
e9_full_02,FULL,1.440,-0.21430,0.000,0
e9_full_02,FULL,1.460,-0.25639,0.000,0
e9_full_02,FULL,1.480,-0.03114,0.000,0
e9_full_02,FULL,1.500,-0.14824,0.000,0
e9_full_02,FULL,1.520,-0.21328,0.000,0
e9_full_02,FULL,1.540,-0.01953,0.000,0
e9_full_02,FULL,1.560,-0.15808,0.000,0
e9_full_02,FULL,1.580,-0.23738,0.000,0
e9_full_02,FULL,1.600,-0.08018,0.000,0
e9_full_02,FULL,1.620,-0.03261,0.000,0
e9_full_02,FULL,1.640,0.01569,0.000,0
e9_full_02,FULL,1.660,0.12662,0.000,0
e9_full_02,FULL,1.680,-0.06864,0.000,0
e9_full_02,FULL,1.700,-0.08104,0.000,0
e9_full_02,FULL,1.720,-0.14778,0.000,0
e9_full_02,FULL,1.740,0.04012,0.000,0
e9_full_02,FULL,1.760,0.12762,0.000,0
e9_full_02,FULL,1.780,-0.00786,0.000,0
e9_full_02,FULL,1.800,0.14197,0.000,0
e9_full_02,FULL,1.820,0.07347,0.000,0
e9_full_02,FULL,1.840,-0.14746,0.000,0
e9_full_02,FULL,1.860,0.04233,0.000,0
e9_full_02,FULL,1.880,-0.05843,0.000,0
e9_full_02,FULL,1.900,0.12648,0.000,0
e9_full_02,FULL,1.920,0.20865,0.000,0
e9_full_02,FULL,1.940,-0.08086,0.000,0
e9_full_02,FULL,1.960,0.00150,0.000,0
e9_full_02,FULL,1.980,-0.07774,0.000,0
e9_full_02,FULL,2.000,0.31309,0.000,0
e9_full_02,FULL,2.020,0.06556,0.000,0
e9_full_02,FULL,2.040,0.03434,0.000,0
e9_full_02,FULL,2.060,0.06336,0.000,0
e9_full_02,FULL,2.080,0.03458,0.000,0
e9_full_02,FULL,2.100,-0.06730,0.000,0
e9_full_02,FULL,2.120,0.35215,0.000,0
e9_full_02,FULL,2.140,0.16502,0.000,0
e9_full_02,FULL,2.160,0.24844,0.000,0
e9_full_02,FULL,2.180,0.07426,0.000,0
e9_full_02,FULL,2.200,0.32433,0.000,0
e9_full_02,FULL,2.220,0.14861,0.000,0
e9_full_02,FULL,2.240,0.11732,0.000,0
e9_full_02,FULL,2.260,0.07985,0.000,0
e9_full_02,FULL,2.280,-0.01504,0.000,0
e9_full_02,FULL,2.300,0.07224,0.000,0
e9_full_02,FULL,2.320,0.00860,0.000,0
e9_full_02,FULL,2.340,0.05186,0.000,0
e9_full_02,FULL,2.360,-0.17290,0.000,0
e9_full_02,FULL,2.380,0.06230,0.000,0
e9_full_02,FULL,2.400,0.29418,0.000,0
e9_full_02,FULL,2.420,0.16765,0.000,0
e9_full_02,FULL,2.440,0.02314,0.000,0
e9_full_02,FULL,2.460,0.02999,0.000,0
e9_full_02,FULL,2.480,-0.01157,0.000,0
e9_full_02,FULL,2.500,-0.02786,0.000,0
e9_full_02,FULL,2.520,0.08824,0.000,0
e9_full_02,FULL,2.540,0.14068,0.000,0
e9_full_02,FULL,2.560,-0.02181,0.000,0
e9_full_02,FULL,2.580,-0.12902,0.000,0
e9_full_02,FULL,2.600,0.02230,0.000,0
e9_full_02,FULL,2.620,-0.01633,0.000,0
e9_full_02,FULL,2.640,0.16409,0.000,0
e9_full_02,FULL,2.660,0.03703,0.000,0
e9_full_02,FULL,2.680,0.02879,0.000,0
e9_full_02,FULL,2.700,0.16357,0.000,0
e9_full_02,FULL,2.720,0.08624,0.000,0
e9_full_02,FULL,2.740,0.08502,0.000,0
e9_full_02,FULL,2.760,0.03898,0.000,0
e9_full_02,FULL,2.780,-0.19587,0.000,0
e9_full_02,FULL,2.800,0.04650,0.000,0
e9_full_02,FULL,2.820,-0.03256,0.000,0
e9_full_02,FULL,2.840,-0.02428,0.000,0
e9_full_02,FULL,2.860,-0.02962,0.000,0
e9_full_02,FULL,2.880,-0.05059,0.000,0
e9_full_02,FULL,2.900,-0.11499,0.000,0
e9_full_02,FULL,2.920,-0.06795,0.000,0
e9_full_02,FULL,2.940,-0.15181,0.000,0
e9_full_02,FULL,2.960,-0.07091,0.000,0
e9_full_02,FULL,2.980,-0.04733,0.000,0
e9_full_02,FULL,3.000,-0.10321,0.000,0
e9_full_03,FULL,-0.200,-0.04622,0.000,0
e9_full_03,FULL,-0.180,-0.09056,0.000,0
e9_full_03,FULL,-0.160,-0.14604,0.000,0
e9_full_03,FULL,-0.140,-0.03888,0.000,0
e9_full_03,FULL,-0.120,-0.10594,0.000,0
e9_full_03,FULL,-0.100,-0.19035,0.000,0
e9_full_03,FULL,-0.080,-0.04763,0.000,0
e9_full_03,FULL,-0.060,-0.11013,0.000,0
e9_full_03,FULL,-0.040,-0.01651,0.000,0
e9_full_03,FULL,-0.020,0.19012,0.000,0
e9_full_03,FULL,0.000,8.53873,0.000,0
e9_full_03,FULL,0.020,8.08476,0.000,0
e9_full_03,FULL,0.040,7.72353,0.000,0
e9_full_03,FULL,0.060,7.61947,0.000,0
e9_full_03,FULL,0.080,6.96847,0.000,0
e9_full_03,FULL,0.100,6.67035,0.000,0
e9_full_03,FULL,0.120,6.27415,0.000,0
e9_full_03,FULL,0.140,5.51798,0.000,0
e9_full_03,FULL,0.160,5.39836,0.000,0
e9_full_03,FULL,0.180,5.05659,0.000,0
e9_full_03,FULL,0.200,4.78858,0.000,0
e9_full_03,FULL,0.220,3.97646,0.000,0
e9_full_03,FULL,0.240,3.84634,0.000,0
e9_full_03,FULL,0.260,3.26466,0.000,0
e9_full_03,FULL,0.280,3.06367,0.000,0
e9_full_03,FULL,0.300,2.86808,0.000,0
e9_full_03,FULL,0.320,2.43857,0.000,0
e9_full_03,FULL,0.340,2.65287,0.000,0
e9_full_03,FULL,0.360,1.95030,0.000,0
e9_full_03,FULL,0.380,1.44925,0.000,0
e9_full_03,FULL,0.400,1.36976,0.000,0
e9_full_03,FULL,0.420,1.26993,0.000,0
e9_full_03,FULL,0.440,0.92956,0.000,0
e9_full_03,FULL,0.460,0.83610,0.000,0
e9_full_03,FULL,0.480,0.66074,0.000,0
e9_full_03,FULL,0.500,0.50196,0.000,0
e9_full_03,FULL,0.520,0.25247,0.000,0
e9_full_03,FULL,0.540,-0.08779,0.000,0
e9_full_03,FULL,0.560,0.10155,0.000,0
e9_full_03,FULL,0.580,-0.24395,0.000,0
e9_full_03,FULL,0.600,-0.16141,0.000,0
e9_full_03,FULL,0.620,-0.41210,0.000,0
e9_full_03,FULL,0.640,-0.47347,0.000,0
e9_full_03,FULL,0.660,-0.27808,0.000,0
e9_full_03,FULL,0.680,-0.35246,0.000,0
e9_full_03,FULL,0.700,-0.74628,0.000,0
e9_full_03,FULL,0.720,-0.47073,0.000,0
e9_full_03,FULL,0.740,-0.90689,0.000,0
e9_full_03,FULL,0.760,-0.62796,0.000,0
e9_full_03,FULL,0.780,-0.68682,0.000,0
e9_full_03,FULL,0.800,-0.60264,0.000,0
e9_full_03,FULL,0.820,-0.85108,0.000,0
e9_full_03,FULL,0.840,-0.70441,0.000,0
e9_full_03,FULL,0.860,-0.82869,0.000,0
e9_full_03,FULL,0.880,-0.65566,0.000,0
e9_full_03,FULL,0.900,-0.88662,0.000,0
e9_full_03,FULL,0.920,-0.80323,0.000,0
e9_full_03,FULL,0.940,-0.64849,0.000,0
e9_full_03,FULL,0.960,-0.71256,0.000,0
e9_full_03,FULL,0.980,-0.73425,0.000,0
e9_full_03,FULL,1.000,-0.83666,0.000,0
e9_full_03,FULL,1.020,-0.66312,0.000,0
e9_full_03,FULL,1.040,-0.70117,0.000,0
e9_full_03,FULL,1.060,-0.69285,0.000,0
e9_full_03,FULL,1.080,-0.65402,0.000,0
e9_full_03,FULL,1.100,-0.47865,0.000,0
e9_full_03,FULL,1.120,-0.86329,0.000,0
e9_full_03,FULL,1.140,-0.61920,0.000,0
e9_full_03,FULL,1.160,-0.40413,0.000,0
e9_full_03,FULL,1.180,-0.54715,0.000,0
e9_full_03,FULL,1.200,-0.43938,0.000,0
e9_full_03,FULL,1.220,-0.49921,0.000,0
e9_full_03,FULL,1.240,-0.49693,0.000,0
e9_full_03,FULL,1.260,-0.45508,0.000,0
e9_full_03,FULL,1.280,-0.29188,0.000,0
e9_full_03,FULL,1.300,-0.30116,0.000,0
e9_full_03,FULL,1.320,-0.57180,0.000,0
e9_full_03,FULL,1.340,-0.32483,0.000,0
e9_full_03,FULL,1.360,-0.35197,0.000,0
e9_full_03,FULL,1.380,-0.14058,0.000,0
e9_full_03,FULL,1.400,0.02808,0.000,0
e9_full_03,FULL,1.420,-0.07973,0.000,0
e9_full_03,FULL,1.440,-0.21535,0.000,0
e9_full_03,FULL,1.460,-0.19695,0.000,0
e9_full_03,FULL,1.480,-0.27064,0.000,0
e9_full_03,FULL,1.500,-0.31250,0.000,0
e9_full_03,FULL,1.520,-0.14523,0.000,0
e9_full_03,FULL,1.540,-0.29547,0.000,0
e9_full_03,FULL,1.560,-0.01165,0.000,0
e9_full_03,FULL,1.580,-0.07190,0.000,0
e9_full_03,FULL,1.600,-0.03361,0.000,0
e9_full_03,FULL,1.620,0.02741,0.000,0
e9_full_03,FULL,1.640,-0.04289,0.000,0
e9_full_03,FULL,1.660,-0.13228,0.000,0
e9_full_03,FULL,1.680,0.00721,0.000,0
e9_full_03,FULL,1.700,0.11871,0.000,0
e9_full_03,FULL,1.720,0.05604,0.000,0
e9_full_03,FULL,1.740,0.26382,0.000,0
e9_full_03,FULL,1.760,0.23965,0.000,0
e9_full_03,FULL,1.780,0.07531,0.000,0
e9_full_03,FULL,1.800,0.17336,0.000,0
e9_full_03,FULL,1.820,-0.01785,0.000,0
e9_full_03,FULL,1.840,-0.39769,0.000,0
e9_full_03,FULL,1.860,0.11277,0.000,0
e9_full_03,FULL,1.880,-0.10416,0.000,0
e9_full_03,FULL,1.900,0.08252,0.000,0
e9_full_03,FULL,1.920,0.26705,0.000,0
e9_full_03,FULL,1.940,0.13118,0.000,0
e9_full_03,FULL,1.960,-0.03942,0.000,0
e9_full_03,FULL,1.980,0.15545,0.000,0
e9_full_03,FULL,2.000,-0.05659,0.000,0
e9_full_03,FULL,2.020,0.13653,0.000,0
e9_full_03,FULL,2.040,0.05438,0.000,0
e9_full_03,FULL,2.060,0.06567,0.000,0
e9_full_03,FULL,2.080,0.17499,0.000,0
e9_full_03,FULL,2.100,0.07756,0.000,0
e9_full_03,FULL,2.120,-0.10434,0.000,0
e9_full_03,FULL,2.140,0.31790,0.000,0
e9_full_03,FULL,2.160,0.06980,0.000,0
e9_full_03,FULL,2.180,0.22660,0.000,0
e9_full_03,FULL,2.200,0.10930,0.000,0
e9_full_03,FULL,2.220,0.10168,0.000,0
e9_full_03,FULL,2.240,0.09238,0.000,0
e9_full_03,FULL,2.260,-0.05116,0.000,0
e9_full_03,FULL,2.280,-0.06280,0.000,0
e9_full_03,FULL,2.300,-0.09067,0.000,0
e9_full_03,FULL,2.320,0.16781,0.000,0
e9_full_03,FULL,2.340,0.17854,0.000,0
e9_full_03,FULL,2.360,0.13591,0.000,0
e9_full_03,FULL,2.380,-0.05510,0.000,0
e9_full_03,FULL,2.400,0.08182,0.000,0
e9_full_03,FULL,2.420,0.02159,0.000,0
e9_full_03,FULL,2.440,0.07941,0.000,0
e9_full_03,FULL,2.460,0.10959,0.000,0
e9_full_03,FULL,2.480,-0.15524,0.000,0
e9_full_03,FULL,2.500,0.07041,0.000,0
e9_full_03,FULL,2.520,0.09934,0.000,0
e9_full_03,FULL,2.540,-0.06787,0.000,0
e9_full_03,FULL,2.560,-0.07700,0.000,0
e9_full_03,FULL,2.580,0.07308,0.000,0
e9_full_03,FULL,2.600,0.12441,0.000,0
e9_full_03,FULL,2.620,0.02189,0.000,0
e9_full_03,FULL,2.640,-0.04020,0.000,0
e9_full_03,FULL,2.660,-0.06332,0.000,0
e9_full_03,FULL,2.680,-0.11788,0.000,0
e9_full_03,FULL,2.700,0.24549,0.000,0
e9_full_03,FULL,2.720,0.18414,0.000,0
e9_full_03,FULL,2.740,0.12372,0.000,0
e9_full_03,FULL,2.760,-0.16392,0.000,0
e9_full_03,FULL,2.780,0.05115,0.000,0
e9_full_03,FULL,2.800,0.01827,0.000,0
e9_full_03,FULL,2.820,-0.09334,0.000,0
e9_full_03,FULL,2.840,-0.14254,0.000,0
e9_full_03,FULL,2.860,-0.10468,0.000,0
e9_full_03,FULL,2.880,-0.15457,0.000,0
e9_full_03,FULL,2.900,-0.16241,0.000,0
e9_full_03,FULL,2.920,-0.03157,0.000,0
e9_full_03,FULL,2.940,0.08867,0.000,0
e9_full_03,FULL,2.960,-0.06496,0.000,0
e9_full_03,FULL,2.980,-0.05177,0.000,0
e9_full_03,FULL,3.000,-0.05351,0.000,0
e9_full_04,FULL,-0.200,-0.12767,0.000,0
e9_full_04,FULL,-0.180,-0.02644,0.000,0
e9_full_04,FULL,-0.160,-0.12168,0.000,0
e9_full_04,FULL,-0.140,-0.02519,0.000,0
e9_full_04,FULL,-0.120,-0.02055,0.000,0
e9_full_04,FULL,-0.100,0.07274,0.000,0
e9_full_04,FULL,-0.080,0.05855,0.000,0
e9_full_04,FULL,-0.060,0.00933,0.000,0
e9_full_04,FULL,-0.040,-0.01135,0.000,0
e9_full_04,FULL,-0.020,-0.04495,0.000,0
e9_full_04,FULL,0.000,8.33622,0.000,0
e9_full_04,FULL,0.020,7.92675,0.000,0
e9_full_04,FULL,0.040,7.86870,0.000,0
e9_full_04,FULL,0.060,7.19814,0.000,0
e9_full_04,FULL,0.080,7.11402,0.000,0
e9_full_04,FULL,0.100,6.62194,0.000,0
e9_full_04,FULL,0.120,6.42628,0.000,0
e9_full_04,FULL,0.140,5.79544,0.000,0
e9_full_04,FULL,0.160,5.55227,0.000,0
e9_full_04,FULL,0.180,5.31038,0.000,0
e9_full_04,FULL,0.200,4.83667,0.000,0
e9_full_04,FULL,0.220,4.49017,0.000,0
e9_full_04,FULL,0.240,3.99679,0.000,0
e9_full_04,FULL,0.260,3.92145,0.000,0
e9_full_04,FULL,0.280,3.50662,0.000,0
e9_full_04,FULL,0.300,2.95455,0.000,0
e9_full_04,FULL,0.320,2.75991,0.000,0
e9_full_04,FULL,0.340,2.35922,0.000,0
e9_full_04,FULL,0.360,2.05394,0.000,0
e9_full_04,FULL,0.380,2.26086,0.000,0
e9_full_04,FULL,0.400,1.56829,0.000,0
e9_full_04,FULL,0.420,1.31006,0.000,0
e9_full_04,FULL,0.440,1.24163,0.000,0
e9_full_04,FULL,0.460,0.79608,0.000,0
e9_full_04,FULL,0.480,0.76308,0.000,0
e9_full_04,FULL,0.500,0.62325,0.000,0
e9_full_04,FULL,0.520,0.35059,0.000,0
e9_full_04,FULL,0.540,0.07003,0.000,0
e9_full_04,FULL,0.560,-0.10265,0.000,0
