trial_id,command_type,t_s,cmd_speed_m_s,cmd_yaw_rad_s,measured_speed_m_s,measured_yaw_rad_s,pitch_deg,protection_triggered,provisional,source
speed_030,speed_step,0.840,0.3000,0.0000,0.2703,-0.0033,-0.3266,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.860,0.3000,0.0000,0.2843,0.0197,-0.5990,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.880,0.3000,0.0000,0.2768,0.0248,-0.3683,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.900,0.3000,0.0000,0.2735,0.0424,-0.5022,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.920,0.3000,0.0000,0.2733,0.0013,-0.3959,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.940,0.3000,0.0000,0.2695,0.0146,-0.5162,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.960,0.3000,0.0000,0.2573,0.0147,-0.3227,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.980,0.3000,0.0000,0.2537,-0.0025,-0.3626,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.000,0.3000,0.0000,0.2750,-0.0145,-0.3505,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.020,0.3000,0.0000,0.2774,-0.0136,-0.5473,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.040,0.3000,0.0000,0.2702,0.0080,-0.4063,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.060,0.3000,0.0000,0.2748,-0.0021,-0.2687,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.080,0.3000,0.0000,0.2662,0.0011,-0.1100,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.100,0.3000,0.0000,0.2676,-0.0050,-0.1492,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.120,0.3000,0.0000,0.2798,-0.0213,-0.1462,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.140,0.3000,0.0000,0.2721,-0.0018,-0.0698,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.160,0.3000,0.0000,0.2689,0.0088,-0.0628,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.180,0.3000,0.0000,0.2821,0.0025,-0.0723,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.200,0.3000,0.0000,0.2616,0.0159,-0.0286,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.220,0.3000,0.0000,0.2658,-0.0085,-0.1130,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.240,0.3000,0.0000,0.2622,-0.0099,-0.1962,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.260,0.3000,0.0000,0.2740,0.0211,-0.0012,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.280,0.3000,0.0000,0.2787,-0.0080,0.0429,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.300,0.3000,0.0000,0.2747,0.0177,0.1990,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.320,0.3000,0.0000,0.2785,0.0054,0.0767,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.340,0.3000,0.0000,0.2900,0.0101,0.0303,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.360,0.3000,0.0000,0.2715,0.0062,0.0956,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.380,0.3000,0.0000,0.2699,0.0079,0.1853,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.400,0.3000,0.0000,0.2719,-0.0210,0.1081,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.420,0.3000,0.0000,0.2776,-0.0051,-0.0088,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.440,0.3000,0.0000,0.2571,-0.0035,0.1569,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.460,0.3000,0.0000,0.2548,0.0119,0.0673,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.480,0.3000,0.0000,0.2767,-0.0102,0.0145,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.500,0.3000,0.0000,0.2782,-0.0007,0.2099,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.520,0.3000,0.0000,0.2644,0.0062,0.1274,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.540,0.3000,0.0000,0.2685,-0.0044,0.1759,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.560,0.3000,0.0000,0.2622,0.0069,0.2136,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.580,0.3000,0.0000,0.2710,0.0057,0.0970,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.600,0.3000,0.0000,0.2587,-0.0008,-0.0384,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.620,0.3000,0.0000,0.2610,0.0042,0.1627,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.640,0.3000,0.0000,0.2649,0.0058,0.2499,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.660,0.3000,0.0000,0.2859,-0.0105,0.1802,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.680,0.3000,0.0000,0.2863,0.0010,0.1500,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.700,0.3000,0.0000,0.2773,-0.0285,-0.0048,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.720,0.3000,0.0000,0.2844,-0.0002,-0.0529,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.740,0.3000,0.0000,0.2765,-0.0037,-0.0006,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.760,0.3000,0.0000,0.2779,-0.0048,0.0393,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.780,0.3000,0.0000,0.2754,-0.0110,0.1874,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.800,0.3000,0.0000,0.2609,0.0102,0.0007,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.820,0.3000,0.0000,0.2707,0.0049,0.1856,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.840,0.3000,0.0000,0.2766,-0.0053,0.0521,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.860,0.3000,0.0000,0.2704,-0.0013,-0.1091,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.880,0.3000,0.0000,0.2699,-0.0072,0.1648,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.900,0.3000,0.0000,0.2768,-0.0010,0.1211,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.920,0.3000,0.0000,0.2733,0.0181,-0.1591,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.940,0.3000,0.0000,0.2777,-0.0097,0.1333,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.960,0.3000,0.0000,0.2656,0.0061,0.1333,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,1.980,0.3000,0.0000,0.2558,-0.0315,0.1219,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.000,0.3000,0.0000,0.2844,0.0024,-0.0115,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.020,0.3000,0.0000,0.2565,-0.0111,-0.0183,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.040,0.3000,0.0000,0.2632,0.0014,-0.0910,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.060,0.3000,0.0000,0.2618,0.0013,0.0534,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.080,0.3000,0.0000,0.2613,0.0014,-0.1042,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.100,0.3000,0.0000,0.2814,-0.0004,-0.1552,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.120,0.3000,0.0000,0.2708,0.0154,-0.0047,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.140,0.3000,0.0000,0.2671,0.0028,0.0069,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.160,0.3000,0.0000,0.2695,0.0143,-0.1339,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.180,0.3000,0.0000,0.2825,0.0101,0.1099,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.200,0.3000,0.0000,0.2789,0.0140,-0.0689,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.220,0.3000,0.0000,0.2726,-0.0038,0.0305,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.240,0.3000,0.0000,0.2612,-0.0094,-0.2130,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.260,0.3000,0.0000,0.2849,-0.0193,0.0122,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.280,0.3000,0.0000,0.2611,0.0025,0.0098,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.300,0.3000,0.0000,0.2611,0.0185,0.1156,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.320,0.3000,0.0000,0.2703,-0.0031,-0.0457,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.340,0.3000,0.0000,0.2759,0.0029,0.0421,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.360,0.3000,0.0000,0.2667,-0.0073,-0.1217,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.380,0.3000,0.0000,0.2673,0.0054,-0.0352,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.400,0.3000,0.0000,0.2668,-0.0042,-0.1450,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.420,0.3000,0.0000,0.2824,0.0050,-0.2925,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.440,0.3000,0.0000,0.2542,0.0091,-0.0671,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.460,0.3000,0.0000,0.2662,-0.0130,0.0290,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.480,0.3000,0.0000,0.2770,0.0021,-0.1402,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.500,0.3000,0.0000,0.2717,0.0042,-0.1354,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.520,0.3000,0.0000,0.2599,-0.0119,0.0021,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.540,0.3000,0.0000,0.2731,-0.0194,0.0344,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.560,0.3000,0.0000,0.2832,-0.0134,0.0247,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.580,0.3000,0.0000,0.2574,-0.0042,-0.0325,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.600,0.3000,0.0000,0.2643,0.0104,0.0708,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.620,0.3000,0.0000,0.2808,-0.0121,-0.0026,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.640,0.3000,0.0000,0.2614,-0.0099,0.2913,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.660,0.3000,0.0000,0.2625,0.0112,-0.0808,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.680,0.3000,0.0000,0.2770,0.0011,-0.0749,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.700,0.3000,0.0000,0.2588,-0.0135,0.1774,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.720,0.3000,0.0000,0.2518,-0.0106,0.0601,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.740,0.3000,0.0000,0.2731,0.0302,-0.0488,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.760,0.3000,0.0000,0.2619,0.0286,0.0789,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.780,0.3000,0.0000,0.2809,-0.0014,0.1010,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.800,0.3000,0.0000,0.2653,-0.0295,0.0305,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.820,0.3000,0.0000,0.2865,-0.0036,-0.1117,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.840,0.3000,0.0000,0.2634,0.0157,0.0901,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.860,0.3000,0.0000,0.2777,-0.0162,0.0639,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.880,0.3000,0.0000,0.2632,0.0221,-0.0812,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.900,0.3000,0.0000,0.2571,0.0148,-0.0407,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.920,0.3000,0.0000,0.2731,-0.0196,0.0270,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.940,0.3000,0.0000,0.2793,0.0036,-0.0466,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.960,0.3000,0.0000,0.2708,0.0022,0.2237,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,2.980,0.3000,0.0000,0.2614,-0.0138,-0.0082,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.000,0.3000,0.0000,0.2644,0.0135,0.0497,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.020,0.0000,0.0000,0.2539,-0.0108,-0.0278,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.040,0.0000,0.0000,0.2044,-0.0155,0.0379,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.060,0.0000,0.0000,0.2033,-0.0098,0.0166,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.080,0.0000,0.0000,0.1817,0.0231,-0.0231,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.100,0.0000,0.0000,0.1726,0.0102,-0.1747,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.120,0.0000,0.0000,0.1591,-0.0070,0.2371,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.140,0.0000,0.0000,0.1383,-0.0000,0.1889,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.160,0.0000,0.0000,0.1377,0.0236,0.0401,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.180,0.0000,0.0000,0.1192,0.0161,0.0869,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.200,0.0000,0.0000,0.0972,-0.0166,-0.0331,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.220,0.0000,0.0000,0.1028,-0.0112,-0.0762,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.240,0.0000,0.0000,0.0795,-0.0018,-0.1191,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.260,0.0000,0.0000,0.0691,-0.0044,0.0592,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.280,0.0000,0.0000,0.0894,0.0278,0.1505,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.300,0.0000,0.0000,0.0682,-0.0189,0.2094,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.320,0.0000,0.0000,0.0525,-0.0347,0.0373,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.340,0.0000,0.0000,0.0607,-0.0080,0.1427,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.360,0.0000,0.0000,0.0441,-0.0061,-0.1899,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.380,0.0000,0.0000,0.0461,0.0167,0.0587,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.400,0.0000,0.0000,0.0294,-0.0174,0.0663,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.420,0.0000,0.0000,0.0553,-0.0135,-0.0494,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.440,0.0000,0.0000,0.0394,0.0140,-0.0412,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.460,0.0000,0.0000,0.0361,0.0145,0.0294,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.480,0.0000,0.0000,0.0156,-0.0059,-0.1006,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.500,0.0000,0.0000,0.0493,0.0205,-0.1313,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.520,0.0000,0.0000,0.0173,0.0068,0.0353,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.540,0.0000,0.0000,0.0194,-0.0030,-0.1315,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.560,0.0000,0.0000,0.0232,-0.0102,-0.0160,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.580,0.0000,0.0000,0.0254,-0.0156,-0.0688,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.600,0.0000,0.0000,0.0355,0.0033,-0.1239,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.620,0.0000,0.0000,0.0033,-0.0006,0.0556,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.640,0.0000,0.0000,0.0104,-0.0195,0.0137,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.660,0.0000,0.0000,0.0296,0.0108,0.1797,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.680,0.0000,0.0000,0.0076,-0.0456,-0.0319,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.700,0.0000,0.0000,0.0253,-0.0051,0.0787,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.720,0.0000,0.0000,0.0001,-0.0079,0.0066,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.740,0.0000,0.0000,0.0032,0.0210,-0.1091,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.760,0.0000,0.0000,0.0024,0.0047,-0.0300,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.780,0.0000,0.0000,0.0045,0.0202,0.0845,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.800,0.0000,0.0000,0.0044,0.0035,-0.0459,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.820,0.0000,0.0000,0.0067,0.0038,0.0881,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.840,0.0000,0.0000,0.0237,0.0134,-0.1472,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.860,0.0000,0.0000,0.0137,0.0139,-0.0247,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.880,0.0000,0.0000,0.0170,0.0125,-0.0606,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.900,0.0000,0.0000,-0.0010,-0.0023,-0.1786,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,3.920,0.0000,0.0000,-0.0109,0.0215,-0.0230,0,True,synthetic_planning_placeholder_not_measured
